,solute_smiles_1,solvent,membrane,solvent_smiles,solvent_viscosity,solvent_density,permeance,solute_diffusivity_1,solute_density_1,solute_mw_1,solute_solubility_1,solute_rejection_1,solute_molar_volume_1,solute_permeance_1,solute_cost_1,bnf_binary_energy,bnf_binary_recovery,bnf_binary_no_stages,bnf_binary_total_area,bnf_binary_productivity,bnf_binary_cost_EUR,bnf_binary_cost_USA,bnf_binary_cost_IND,bnf_binary_cost_CHN,bnf_binary_cost_membrane,bnf_binary_cost_waste
0,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.32188909074,10000,0.827116,0.0002476069928769,2.9742593982987574e-07,3159.26712,9561553.000785202,0.3691253674393736,3,2520.0,0.0020249163013817064,344.29649319693476,343.49172915270196,343.41470553130677,343.33768190991157,5.633670688149601,337.47028437063165
1,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.672051358928,10000,0.8243885540000001,0.0005169625837907,2.907175286551891e-07,237325.044,9703303.730663499,0.3637329988499233,3,2520.0,0.001995335307976722,25953.517097487413,25952.70040275675,25952.622237254476,25952.5440717522,5.717190272454953,25946.589689610773
2,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,1.37165172124009,10000,0.915191962,0.0010551167086462,1.302916857378494e-07,661244.518,5015890.667076186,0.7036460718477368,2,600.0,0.004053001373842964,69627.36701922637,69626.94484842857,69626.90444264263,69626.8640368567,2.814633048652014,69623.9267931473
3,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.634309776684,10000,0.9006223720000002,0.0004879305974492,1.577494011754437e-07,41745.344,5311143.715475849,0.6645295163867857,2,600.0,0.003827690014387886,5272.156164990587,5271.709143727868,5271.666359514604,5271.623575301341,2.980312295449743,5268.513435048401
4,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.7801429473679999,10000,0.949146566,0.0006001099595138,7.820308193177595e-08,,4374105.865587876,0.8068875955821276,2,600.0,0.004647672550553056,,,,,2.4544998575024284,
5,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.8602844603500001,10000,0.958714192,0.0006617572771923,6.309771441216828e-08,,4204797.233680281,0.8393773988518202,2,600.0,0.004834813817386484,,,,,2.359493466331035,
6,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,1.5694589867519992,10000,0.912686904,0.0012072761436553,1.3367521336660088e-07,,5065868.782937635,0.696704142158854,2,600.0,0.004013015858834999,,,,,2.842677929601341,
7,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.6261404684960001,10000,0.95620895,0.0004816465142276,6.733217404553978e-08,363126.29,4248639.932496377,0.8307156691981904,2,600.0,0.004784922254581577,18502.5021451693,18502.144551308313,18502.110326153303,18502.07610099829,2.3840954995930197,18499.588149855903
8,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,1.034612362656,10000,0.99290836,0.0007958556635815,1.06663165014101e-08,50935.5469,3639203.8970130044,0.96983072797948,2,600.0,0.005586224993161805,398.61883408998494,398.312534428653,398.2832186194827,398.2539028103123,2.042114599217683,396.12282989361205
9,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.356067008392,10000,0.58304631,0.000273897698763,8.925324131706006e-07,881.102232,58099868.569993764,0.06074732786105958,4,10200.0,0.0003293219844514854,254.7500294807463,249.85995720943848,249.39193049040244,248.92390377136638,34.639994144487396,212.86369061739023
