,Unnamed: 0,id,solvent,permeance,pressure,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,source,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_PMPerformance,membrane_SM122,membrane_SS150101,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,test_standard,test_solute_disjoint,test_solute_disjoint_outer_val,is_augmented,id_original,loss_weight,rejection_mcmpnn_combi_v42a_fold2
0,5400,5400,Methanol,1.23,20.0,300,59.0,-37.5,0,0,22.0,CO,O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,Unknown,0.4,228.247,2.6318000000000006,228.247,2.6318000000000006,0.5,nf10k,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.2211255279972604,0,0,0,0,5400,0.3257440976809894,0.7531
1,4450,4450,n-Heptane,0.225,20.0,300,59.0,-37.5,0,0,22.0,CCCCCCC,BrC1=CC=C(Br)O1,BrC1=CC=C(Br)O1,Unknown,-0.056021284,225.867,2.8046000000000006,225.867,2.8046000000000006,0.5,nf10k,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,1,0,0,0,0,0,0,DM300,1,0,CF,-0.0240837322749656,0,0,0,0,4450,0.2171627317873262,-0.046240926
2,1757,1757,Methanol,0.388464033,30.0,300,59.0,-37.5,0,0,21.0,CO,Oc(c([Si](c1ccccc1)(c2ccccc2)c3ccccc3)c4)c(c5c(O)c([Si](c6ccccc6)(c7ccccc7)c8ccccc8)cc9c5cccc9)c%10c4cccc%10,Oc(c([Si](c1ccccc1)(c2ccccc2)c3ccccc3)c4)c(c5c(O)c([Si](c6ccccc6)(c7ccccc7)c8ccccc8)cc9c5cccc9)c%10c4cccc%10,organocatalyst,0.989744403,803.1220000000002,7.826000000000009,803.1220000000002,7.826000000000009,0.5,cat,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,1.9486314649522567,1,0,0,0,1757,0.645920361710404,0.97220564
3,4832,4832,n-Heptane,0.225,20.0,300,59.0,-37.5,0,0,22.0,CCCCCCC,C(#Cc1ccccc1)c1ccccc1,C(#Cc1ccccc1)c1ccccc1,Unknown,0.001205258,178.234,3.086400000000001,178.234,3.086400000000001,0.5,nf10k,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,1,0,0,0,0,0,0,DM300,1,0,CF,8.915156661568058e-05,0,0,0,0,4832,0.2171627317873262,0.06393829
4,495,495,Acetonitrile,3.30137418,10.0,300,-1.0,0.0,1,1,21.0,C(C)#N,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,ligand,0.225900901,315.401,5.549400000000005,315.401,5.549400000000005,0.5,cat,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,1,0,SS150101,1,0,CF,0.1106427679485805,0,0,0,0,495,0.7486033703697171,0.216797
5,2677,2677,Ethanol,0.244542261,20.0,500,82.0,0.0,0,1,22.0,C(C)O,OC1=CC=CC=C1C2=CC=CC=C2,OC1=CC=CC=C1C2=CC=CC=C2,Unknown,0.31505767,170.211,3.059200000000001,170.211,3.059200000000001,0.5,nf10k,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,1,SS336,1,0,CF,0.1637123956862398,0,0,0,0,2677,0.3347813446254705,0.28020382
6,5907,5907,Acetone,1.69,20.0,300,59.0,-37.5,0,0,22.0,CC(=O)C,COC1=CC2=C(C=C1)C=CN2,COC1=CC2=C(C=C1)C=CN2,Unknown,0.680836567,147.177,2.1765,147.177,2.1765,0.5,nf10k,58.08,-0.24,0.32,784.0,20.7,15.5,10.4,7.0,74.0,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.4946282718957605,1,0,0,0,5907,0.4782121878697254,0.693301
7,5504,5504,Methanol,1.54,10.0,300,59.0,-37.5,0,0,22.0,CO,CC1=NC2=CC(=C(C=C2N1)Cl)Cl,CC1=NC2=CC(=C(C=C2N1)Cl)Cl,Unknown,0.778145782,201.056,3.1781200000000007,201.056,3.1781200000000007,0.5,nf10k,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.6519791415338799,0,0,0,0,5504,0.5310420252634261,0.69613916
8,4928,4928,Methanol,1.54,10.0,300,59.0,-37.5,0,0,22.0,CO,O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,Unknown,0.99,197.278,1.6293999999999993,197.278,1.6293999999999993,0.5,nf10k,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,1.9586073148417744,0,0,0,0,4928,0.6460591270672956,1.0
9,3377,3377,2-propanol,0.081400081,20.0,500,82.0,0.0,0,1,22.0,C(C)(C)O,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,Unknown,-0.073131496,218.202,3.195800000000002,218.202,3.195800000000002,0.5,nf10k,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,0,0,0,0,0,0,1,SS336,1,0,CF,-0.031057451281086,0,0,0,0,3377,0.259995230922759,-0.049865067
