,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2
0,1.0,0.981021299819848,0.14813713574067358,5.944439578361805,2999.999999281761,7.805441459536936,13.13065993293853,39.99999975593991,3.98036347001821e-08,1.086138235684964e-06,4.589738922145999e-08,1.2028207315075882e-06,6.657371659226308e-08,7.436994854512028,9.974124751585412e-09,0.26538835816500844
1,1.0,0.9810212998198606,0.1481371357406548,5.944439578364634,2999.999999281761,7.805441459541179,13.130659932939418,39.9999997559399,3.980361777496092e-08,1.086138165489449e-06,4.589737894768725e-08,1.2028207060468118e-06,6.657371510799924e-08,7.436994854520606,9.973391999019058e-09,0.2653883581657022
2,1.0,0.9810212998198933,0.14813713574060425,5.944439578371851,2999.999999281761,7.8054414595520125,13.130659932941704,39.999999755939875,3.980357511770216e-08,1.086137971772442e-06,4.589735140551218e-08,1.2028206358876483e-06,6.657370866649113e-08,7.436994854544487,9.971527150865751e-09,0.26538835816742257
3,1.0,0.9810212998199876,0.14813713574046805,5.944439578393052,2999.999999281761,7.805441459583873,13.13065993294847,39.99999975593978,3.980346523180947e-08,1.0861372460336218e-06,4.589728312116894e-08,1.2028203729767615e-06,6.657366822761676e-08,7.436994854605713,9.966048513755658e-09,0.2653883581726891
4,1.0,0.9810212998198589,0.14813713574065743,5.944439578364255,2999.999999281761,7.805441459540608,13.130659932939295,39.9999997559399,3.980362003204011e-08,1.0861381757410638e-06,4.589738040493812e-08,1.2028207097594849e-06,6.657371544854244e-08,7.436994854519361,9.973490776232936e-09,0.2653883581656106
5,1.0,0.9711956136087464,0.19999999199467236,5.3433150422317155,2405.0025898913977,6.943386510464545,12.994529530117756,40.00000001555709,4.925274169049076e-08,1.0673204459236736e-06,5.701104736238313e-08,1.1544426692738796e-06,7.731973978426845e-08,6.149489396463255e-06,1.120142069664051e-08,0.4290152294393345
6,1.0,0.9711956136087465,0.19999999199467236,5.343315042231716,2405.0025898913977,6.9433865104645465,12.994529530117758,40.000000015557085,4.925274169185618e-08,1.0673204459163044e-06,5.7011047358034466e-08,1.1544426692824584e-06,7.731973976945978e-08,6.149489396559433e-06,1.120142069171332e-08,0.4290152294393344
7,1.0,0.9711956136087465,0.19999999199467236,5.3433150422317155,2405.0025898913977,6.943386510464544,12.994529530117754,40.000000015557085,4.925274169402162e-08,1.0673204459229655e-06,5.7011047363392796e-08,1.1544426692713453e-06,7.731973978857519e-08,6.149489396433388e-06,1.1201420697880567e-08,0.42901522943933423
8,1.0,0.971195613608744,0.1999999919946723,5.343315042231089,2405.002589890534,6.943386510464621,12.994529530119229,40.000000015556516,4.925273318140106e-08,1.0673290571366533e-06,5.7010978083079804e-08,1.1544446117263516e-06,7.731943927935187e-08,6.1495099942051994e-06,1.1201308646598351e-08,0.429015229438962
9,1.0,0.9711956136087464,0.19999999199467236,5.343315042231715,2405.0025898913973,6.943386510464543,12.994529530117756,40.000000015557085,4.925274169357057e-08,1.0673204459351696e-06,5.7011047362322994e-08,1.1544426692737306e-06,7.731973978488044e-08,6.1494893964661445e-06,1.1201420697351807e-08,0.4290152294393343
