,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-NC,membrane_GMT-oNF-2,membrane_NFX,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SB90,membrane_SM122,membrane_SS150101,membrane_SS336,membrane_SeppurePT,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source,is_augmented,id_original,test_fold_rejection_model,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_5_fold0,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_5_fold1,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_5_fold2,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_5_fold3,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_5_fold4
0,462,300,-1.0,0.0,1,1,Ethanol,0.0141,20.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.917461294,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SeppurePT,1,0,CF,1.0781122561646497,cat,0,462,-1.0,0.71883434,0.8070444,0.61734337,0.80589354,0.7241914
1,464,300,-1.0,0.0,1,1,Ethanol,0.0141,10.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.937803753,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SeppurePT,1,0,CF,1.199308712154115,cat,0,464,-1.0,0.8331428,0.80995774,0.66490406,0.8300687,0.798286
2,466,225,-1.0,0.0,1,1,Ethanol,0.24,10.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.96489487,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,1.4424310869473382,cat,0,466,-1.0,0.9217582,0.91615576,0.92085284,0.9001452,0.8868197
3,468,225,-1.0,0.0,1,1,Acetonitrile,0.36,20.0,21.0,C(C)#N,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.939334279,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,1.2099561863322832,cat,0,468,-1.0,0.8033666,0.67345476,0.62824035,0.87284327,0.6968993
4,470,225,-1.0,0.0,1,1,Acetonitrile,0.36,30.0,21.0,C(C)#N,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.817098291,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,0.7354142348411998,cat,0,470,-1.0,0.71631444,0.57660186,0.5663958,0.65927684,0.5815223
5,726,225,-1.0,0.0,1,1,Ethanol,0.24,10.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.892554339,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,0.9647878197812289,cat,0,726,-1.0,0.9217582,0.91615576,0.92085284,0.9001452,0.8868197
6,730,200,-1.0,0.0,1,1,Ethanol,2.033857,10.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,-0.358486203,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SB90,1,0,CF,-0.133374804427107,cat,0,730,-1.0,-0.13195348,-0.17048192,-0.09068465,-0.06271416,0.01906854
7,734,225,-1.0,0.0,1,1,Ethanol,0.24,20.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.877506155,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,0.9083546873366954,cat,0,734,-1.0,0.88576055,0.8443954,0.9042336,0.87326086,0.84275216
8,738,200,-1.0,0.0,1,1,Ethanol,2.033857,20.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,-0.468167429,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SB90,1,0,CF,-0.1670712916019461,cat,0,738,-1.0,-0.16452354,-0.1998294,-0.2135759,-0.14041746,-0.13084567
9,742,225,-1.0,0.0,1,1,Ethanol,0.24,30.0,21.0,C(C)O,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,OC1=C(CC2=CC=CC(C3)=C2O)C=CC=C1CC4=C(O)C(CC5=C(O)C3=CC=C5)=CC=C4,organocatalyst,0.903702119,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,1.0118966179025433,cat,0,742,-1.0,0.8466827,0.7556687,0.9134102,0.83249736,0.8040271
