id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-NC,membrane_GMT-oNF-2,membrane_NFX,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SB90,membrane_SM122,membrane_SS150101,membrane_SS336,membrane_SeppurePT,membrane_TS40,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source
0,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,COC(C=C1C(C)(C)C)=CC(C2=C(C(C(C)(C)C)=CC(OC)=C2)O[P]34OC5=CC=CC=C5C6=CC=CC=C6O3)=C1O[P]7([Rh+]84O[C-](C)C=C(O8)C)OC9=CC=CC=C9C%10=CC=CC=C%10O7,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.97,988.8130000000001,14.855389999999966,258.03499999999997,0.60719,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.508638306165727,cat
1,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,CC(C)(C1=CC=C2)C3=CC=CC([P](C4=CC=CC=C4)([Rh+]56O[C-](C)C=C(O5)C)C7=CC=CC=C7)=C3OC1=C2[P]6(C8=CC=CC=C8)C9=CC=CC=C9,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.97,780.6470000000002,9.035990000000002,258.03499999999997,0.60719,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.508638306165727,cat
2,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,CC(O[Rh+]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)O7)=C[C-]7C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.94,726.5990000000002,8.290990000000006,258.03499999999997,0.60719,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.2146701649892326,cat
3,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,O(C1=C(C=C(OC)C=C1C(C)(C)C)C2=C(OP3OC=4C(C=5C(O3)=CC=CC5)=CC=CC4)C(C(C)(C)C)=CC(OC)=C2)P6OC=7C(C=8C(O6)=CC=CC8)=CC=CC7,COC(C=C1C(C)(C)C)=CC(C2=C(C(C(C)(C)C)=CC(OC)=C2)O[P]34OC5=CC=CC=C5C6=CC=CC=C6O3)=C1O[P]7([Rh+]84O[C-](C)C=C(O8)C)OC9=CC=CC=C9C%10=CC=CC=C%10O7,ligand,0.98,786.7980000000002,14.856799999999966,988.8130000000001,14.855389999999966,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.6777807052660803,cat
4,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,P(C1=C2C(C(C)(C)C=3C(O2)=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C=CC3)=CC=C1)(C6=CC=CC=C6)C7=CC=CC=C7,CC(C)(C1=CC=C2)C3=CC=CC([P](C4=CC=CC=C4)([Rh+]56O[C-](C)C=C(O5)C)C7=CC=CC=C7)=C3OC1=C2[P]6(C8=CC=CC=C8)C9=CC=CC=C9,ligand,0.95,578.6320000000002,7.634600000000009,780.6470000000002,9.035990000000002,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.2924298239020633,cat
5,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,CC(O[Rh+]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)O7)=C[C-]7C,ligand,0.66,262.292,3.4448000000000016,726.5990000000002,8.290990000000006,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.46724562100750233,cat
6,300,59.0,-37.5,0,0,Ethanol,0.09435,30.0,50.0,C(C)O,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,metal_catalyst,0.9802,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DM300,1,0,CF,1.6819366650372376,cat
7,220,-1.0,0.0,1,1,Toluene,0.06,40.0,30.0,CC1=CC=CC=C1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.996,626.634,8.050320000000008,626.634,8.050320000000008,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SM122,1,0,CF,2.301029995663981,cat
8,220,-1.0,0.0,1,1,Toluene,0.06,40.0,30.0,CC1=CC=CC=C1,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,metal_catalyst,0.984,738.8500000000001,11.02541999999999,738.8500000000001,11.02541999999999,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SM122,1,0,CF,1.7695510786217257,cat
9,220,-1.0,0.0,1,1,Toluene,0.06,40.0,30.0,CC1=CC=CC=C1,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(OCC45CC6CC(C5)CC(C6)C4)cc3C)CCN2c7c(C)cc(OCC89CC%10CC(C9)CC(C%10)C8)cc7C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(OCC45CC6CC(C5)CC(C6)C4)cc3C)CCN2c7c(C)cc(OCC89CC%10CC(C9)CC(C%10)C8)cc7C)cccc1)C,metal_catalyst,0.993,927.0759999999996,12.62387999999998,927.0759999999996,12.62387999999998,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SM122,1,0,CF,2.0969100130080562,cat
