,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-NC,membrane_GMT-oNF-2,membrane_NFX,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SB90,membrane_SM122,membrane_SS150101,membrane_SS336,membrane_SeppurePT,membrane_TS40,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source,is_augmented,id_original,test_fold_rejection_model,rejection_mcmpnn_combi_v03z_id_organos_smino_1_fold0,rejection_mcmpnn_combi_v03z_id_organos_smino_1_fold1,rejection_mcmpnn_combi_v03z_id_organos_smino_1_fold2,rejection_mcmpnn_combi_v03z_id_organos_smino_1_fold3,rejection_mcmpnn_combi_v03z_id_organos_smino_1_fold4
0,168,600,-1.0,0.0,1,1,Ethyl acetate,2.51,30.0,21.0,O(C(C)=O)CC,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.034,511.9800000000001,4.2893,511.9800000000001,4.2893,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PMS600,0,1,DE,0.0145735259169983,cat,0,168,-1.0,0.37710425,0.38816637,0.43475384,0.022570193,0.11614096
1,169,300,59.0,-37.5,0,0,Acetonitrile,0.51909254,30.0,21.0,C(C)#N,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.655,511.9800000000001,4.2893,511.9800000000001,4.2893,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DM300,0,1,DE,0.4609239012072234,cat,0,169,-1.0,0.60647905,0.84750545,0.83160585,0.8044239,0.9207086
2,170,225,-1.0,0.0,1,1,Acetonitrile,0.36,30.0,21.0,C(C)#N,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.389,511.9800000000001,4.2893,511.9800000000001,4.2893,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NFX,0,1,DE,0.2132485778544388,cat,0,170,-1.0,0.20249847,0.31803066,0.15474153,0.17345479,0.35570782
3,171,225,-1.0,0.0,1,1,Acetonitrile,0.36,20.0,21.0,C(C)#N,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.423,511.9800000000001,4.2893,511.9800000000001,4.2893,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NFX,0,1,DE,0.2380721615794709,cat,0,171,-1.0,0.26156592,0.41557667,0.29964685,0.28776252,0.53611803
4,172,225,-1.0,0.0,1,1,Acetonitrile,0.36,10.0,21.0,C(C)#N,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.625,511.9800000000001,4.2893,511.9800000000001,4.2893,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NFX,0,1,DE,0.4248121550723389,cat,0,172,-1.0,0.36362433,0.5755076,0.40711582,0.42246544,0.71019137
5,372,300,87.0,-8.0,0,0,Ethanol,0.195522762,30.0,21.0,C(C)O,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,-0.039675383,511.9800000000001,4.2893,511.9800000000001,4.2893,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,0,1,DE,-0.0173152815207813,cat,0,372,-1.0,0.038261294,0.045692086,-0.08883625,-0.20219594,0.064403355
6,373,500,82.0,0.0,0,1,Ethanol,0.320534523,30.0,21.0,C(C)O,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.681695221,511.9800000000001,4.2893,511.9800000000001,4.2893,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SS336,0,1,DE,0.4957945813734987,cat,0,373,-1.0,-0.17652446,0.12727273,0.06800598,0.33649746,0.55291647
7,374,300,87.0,-8.0,0,0,Ethanol,0.195522762,20.0,21.0,C(C)O,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.088367899,511.9800000000001,4.2893,511.9800000000001,4.2893,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,0,1,DE,0.039704259383241,cat,0,374,-1.0,0.041490763,0.07558474,-0.023711681,-0.13218433,0.029942214
8,375,500,82.0,0.0,0,1,Ethanol,0.320534523,20.0,21.0,C(C)O,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.632100992,511.9800000000001,4.2893,511.9800000000001,4.2893,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SS336,0,1,DE,0.4330925126254744,cat,0,375,-1.0,-0.123508155,0.095473975,0.07909539,0.30828553,0.4063564
9,376,300,87.0,-8.0,0,0,Ethanol,0.195522762,10.0,21.0,C(C)O,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,organocatalyst,0.07754734,511.9800000000001,4.2893,511.9800000000001,4.2893,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,0,1,DE,0.034585363383184,cat,0,376,-1.0,0.12706074,0.13464198,0.035737246,-0.062456727,0.07212192
