,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM300,membrane_GMT-oNF-2,membrane_NFX,membrane_PMPerformance,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source,is_augmented,id_original,test_fold_mcmpnn_combi_v09_id_organocatalysts,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_1_fold0,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_1_fold1,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_1_fold2,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_1_fold3,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_1_fold4
0,324,300,87.0,-8.0,0,0,Toluene,0.341009623,30.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.990131579,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,0,1,DE,1.9638335470635315,cat,0,324,-1.0,0.09326145,0.12586886,0.4926276,0.26147804,0.263856
1,328,300,-1.0,0.0,1,1,Toluene,0.716741199,30.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.955592105,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,PMPerformance,0,1,DE,1.3428686304723851,cat,0,328,-1.0,0.30680865,0.48122787,0.7143115,0.5933987,0.5916767
2,332,500,82.0,0.0,0,1,Toluene,2.439741329,30.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.282894737,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,SS336,0,1,DE,0.1438118903129606,cat,0,332,-1.0,0.38700333,0.38440847,0.51390845,0.39230198,0.32902637
3,336,300,87.0,-8.0,0,0,Toluene,0.341009623,10.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.5,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,0,1,DE,0.3001622741327542,cat,0,336,-1.0,0.1690622,0.37185666,0.47658885,0.23896885,0.29121065
4,340,300,-1.0,0.0,1,1,Toluene,0.716741199,10.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.814144737,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,PMPerformance,0,1,DE,0.7284946652231297,cat,0,340,-1.0,0.3549865,0.5725972,0.7514808,0.5507681,0.6579221
5,344,500,82.0,0.0,0,1,Toluene,2.439741329,10.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.421052632,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,SS336,0,1,DE,0.2366114182031786,cat,0,344,-1.0,0.31805533,0.45649314,0.519182,0.35471773,0.31416792
6,348,300,87.0,-8.0,0,0,Toluene,0.341009623,20.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.225328947,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,0,1,DE,0.1103224155391083,cat,0,348,-1.0,0.128059,0.22913224,0.48510534,0.24761462,0.28070095
7,352,300,-1.0,0.0,1,1,Toluene,0.716741199,20.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.536184211,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,PMPerformance,0,1,DE,0.3327191281239394,cat,0,352,-1.0,0.3269258,0.53481394,0.7173136,0.5694507,0.63046736
8,356,500,82.0,0.0,0,1,Toluene,2.439741329,20.0,21.0,CC1=CC=CC=C1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.286184211,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,SS336,0,1,DE,0.1458058632734947,cat,0,356,-1.0,0.3494595,0.45006013,0.5217545,0.37308878,0.32284063
9,390,225,-1.0,0.0,1,1,Ethanol,0.24,10.0,21.0,C(C)O,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],organocatalyst,0.929090909,322.3749999999999,2.007600000000001,322.3749999999999,2.007600000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,1,0,0,NFX,1,0,CF,1.1432162011115037,cat,0,390,-1.0,0.890676,0.8768066,0.8886943,0.8973436,0.92222714
